		ADJ;MASC;SG
 populẹda		ADJ;FEM;SG
a		ADJ;FEM;SG
a	h	ADJ;FEM;SG
a	i	ADJ;FEM;SG
a	nt	ADJ;FEM;SG
a a		ADJ;FEM;SG
a al		ADJ;FEM;SG
as		ADJ;FEM;PL
ạinta	ạint	ADJ;FEM;SG
ạiṣa	ạis	ADJ;FEM;SG
ạnta	ạnt	ADJ;FEM;SG
ạsca	ạsc	ADJ;FEM;SG
ạuṣa	ạus	ADJ;FEM;SG
bla		ADJ;FEM;SG
buadịtscha	vacha	ADJ;FEM;SG
ca		ADJ;FEM;SG
cha	fi	ADJ;FEM;SG
cha	i	ADJ;FEM;SG
convulṣịva	onvulṣịv	ADJ;FEM;SG
cra	-cher	ADJ;FEM;SG
crẹda	rọ	ADJ;FEM;SG
da	eu	ADJ;FEM;SG
das	eu	ADJ;FEM;PL
eda	o	ADJ;FEM;SG
eda	ọ	ADJ;FEM;SG
essimịstica	pessimịstic	ADJ;FEM;SG
ẹda	iọ	ADJ;FEM;SG
ẹda	iọ	ADJ;FEM;SG
ẹda	ọ	ADJ;FEM;SG
ẹda	ọ	ADJ;FEM;SG
ẹra	ẹr	ADJ;FEM;SG
ẹsbica	ẹsbic	ADJ;FEM;SG
gia	i	ADJ;FEM;SG
hẹda	ọ	ADJ;FEM;SG
ia		ADJ;FEM;SG
ịfica	ịfic	ADJ;FEM;SG
ịna	ịn	ADJ;FEM;SG
ịṣa	ịs	ADJ;FEM;SG
iẹta	ịet	ADJ;FEM;SG
kẹda	cọ	ADJ;FEM;SG
la		ADJ;FEM;SG
la	cal	ADJ;FEM;SG
la	el	ADJ;FEM;SG
la	tel	ADJ;FEM;SG
la	ul	ADJ;FEM;SG
ma		ADJ;FEM;SG
ma	em	ADJ;FEM;SG
ma	sem	ADJ;FEM;SG
na		ADJ;FEM;SG
na	en	ADJ;FEM;SG
na	lan	ADJ;FEM;SG
ndefinịbla	indefinịbel	ADJ;FEM;SG
nta	is	ADJ;FEM;SG
omatogrạfica	ematogrạfic	ADJ;FEM;SG
ors	r	ADJ;MASC;PL
os	ọ	ADJ;MASC;PL
ourdạvrt	fich	ADJ;FEM;SG
pa		ADJ;FEM;SG
ra		ADJ;FEM;SG
ra	ar	ADJ;FEM;SG
ra	er	ADJ;FEM;SG
ra	fer	ADJ;FEM;SG
ra	her	ADJ;FEM;SG
ra	ter	ADJ;FEM;SG
ra	zer	ADJ;FEM;SG
s		ADJ;FEM;PL
s	ọjer	ADJ;MASC;PL
sa		ADJ;FEM;SG
satọrica	ṣatọric	ADJ;FEM;SG
sdrüạbla	ṣdrüạbel	ADJ;FEM;SG
sgẹda	ṣgiọ	ADJ;FEM;SG
sitịva	ṣitịv	ADJ;FEM;SG
siụṣa	ṣiụs	ADJ;FEM;SG
surinclẹtta	ṣurinclẹt	ADJ;FEM;SG
ṣagẹda	ṣagiọ	ADJ;FEM;SG
sịbla	ṣịbel	ADJ;FEM;SG
ta		ADJ;FEM;SG
tar	sạinza	ADJ;FEM;SG
tas		ADJ;MASC;PL
tschinch	quạtter	ADJ;FEM;SG
