		N;MASC;SG
	it	N;MASC;PL
a		N;FEM;SG
a	cha	N;FEM;SG
a	er	N;FEM;SG
a	h	N;FEM;SG
andẹra	indera	N;FEM;SG
apodọuvra	hodọuvra	N;FEM;SG
as	s	N;FEM;PL
astrạunza	isteraunza	N;FEM;SG
avạina	flọ̈der	N;FEM;SG
axifrạga	fendacrap	N;FEM;SG
bergiamịna	pergiamịna	N;FEM;SG
chadụ̈ra	ochadụ̈ra	N;FEM;SG
chla	la	N;FEM;SG
cra	ker	N;FEM;SG
da	eu	N;FEM;SG
dschandschịva	andschiva	N;FEM;SG
dụ̈ra		N;FEM;SG
els	è	N;MASC;PL
els-glạtsch	è-glạtsch	N;MASC;PL
erprạiṣa	rapraisa	N;FEM;SG
es	è	N;MASC;PL
evẹtta	avetta	N;FEM;SG
ẹls	è	N;MASC;PL
ẹs	è	N;MASC;PL
fas		N;MASC;PL
fạndra	erva	N;FEM;SG
harịa	aria	N;FEM;SG
hẹda	ọ	N;FEM;SG
ihs	ịh	N;MASC;PL
irọula	aroula	N;FEM;SG
ita	a	N;FEM;SG
itschọula	atschoula	N;FEM;SG
ịcca	ạcca	N;FEM;SG
la	cal	N;FEM;SG
la	el	N;FEM;SG
la	hla	N;FEM;SG
la	ul	N;FEM;SG
lappạlia	piculezza	N;FEM;SG
lastrịa	restia	N;FEM;SG
llịns	ïn	N;MASC;PL
mda	nda	N;FEM;SG
nfanọjas	fanojas	N;FEM;PL
nieblamạinta	aniplamạinta	N;FEM;SG
nạlva	gnạua	N;FEM;SG
nẹglia	ignela	N;FEM;SG
ors	r	N;MASC;PL
ra	a	N;FEM;SG
ra	car	N;FEM;SG
ra	er	N;FEM;SG
ra	ger	N;FEM;SG
ra	her	N;FEM;SG
ras	ers	N;FEM;PL
rẹssa	̣ra	N;FEM;SG
rgentịna	nserina	N;FEM;SG
s		N;MASC;PL
s-web	-web	N;FEM;PL
scuidạunza	melscuidaunza	N;FEM;SG
sguạita	guạita	N;FEM;SG
sra	ṣer	N;FEM;SG
stụ̈j fos	charetsch	N;MASC;PL
sẹda	ṣọ	N;FEM;SG
sẹdra	ṣẹder	N;FEM;SG
tschịmgia	schịmgia	N;FEM;SG
tạja	dẹja	N;FEM;SG
unza	nza	N;FEM;SG
urdạunza	ordạnza	N;FEM;SG
ụnza da skis	ụnz	N;MASC;PL
ụra	ụra	N;MASC;PL
uạrda	ạrda	N;FEM;SG
zavẹnna	svẹnna	N;FEM;SG
zẹda		N;FEM;SG
zạidla	saidla	N;FEM;SG
zịa	tura	N;FEM;SG
ọ̈vra	ouvra	N;FEM;SG
ụ̈ergia	oria	N;FEM;SG
ụ̈ra	a	N;FEM;SG
̣ls	̣̀	N;MASC;PL
̣s	̀	N;MASC;PL
ṣatụors	satur	N;MASC;PL
ṣchẹls	schè	N;MASC;PL
ṣitụors	sitụr	N;MASC;PL
ṣẹdra	seder	N;FEM;SG
ṣụors	sur	N;MASC;PL
ạcha	achẹda	N;FEM;SG
ạglia	a	N;FEM;SG
ạglia	haglia	N;FEM;SG
ạida	vạida	N;FEM;SG
ạista	asta	N;FEM;SG
ạistra	aister	N;FEM;SG
ạiṣa	enṣiụn	N;FEM;SG
ạla	ela	N;FEM;SG
ạls	agl	N;MASC;PL
ạma	amaziun	N;FEM;SG
ạma	amạṣcha	N;FEM;SG
ạmda	anda	N;FEM;SG
ạrtscha	atergia	N;FEM;SG
ạs	à	N;FEM;PL
ạstra	aster	N;FEM;SG
ạtica	atcha	N;FEM;SG
ạtta	at	N;FEM;SG
ạunza	uzcha	N;FEM;SG
ẹa	eja	N;FEM;SG
ẹda	io	N;FEM;SG
ẹda	iọ	N;FEM;SG
ẹda	o	N;FEM;SG
ẹda	öz	N;FEM;SG
ẹda	ọ	N;FEM;SG
ẹdra	eder	N;FEM;SG
ẹdra	itụr	N;FEM;SG
ẹgna	ạina	N;FEM;SG
ẹispra	espra	N;FEM;SG
ẹls	ẹ̀	N;MASC;PL
ẹls	è	N;MASC;PL
ẹnza	enzcha	N;FEM;SG
ẹpticra	eptiker	N;FEM;SG
ẹra	eda	N;FEM;SG
ẹra	ira	N;FEM;SG
ẹrta	verta	N;FEM;SG
ẹrza	ersa	N;FEM;SG
ẹs	è	N;MASC;PL
ẹtra	eter	N;FEM;SG
ịda	ia	N;FEM;SG
ịdra	ider	N;FEM;SG
ịedgia	iedi	N;FEM;SG
ịedgia	iẹdi	N;FEM;SG
ịedra	ieder	N;FEM;SG
ịedra	iẹder	N;FEM;SG
ịera	iẹrs	N;FEM;SG
ịergia	ergia	N;FEM;SG
ịmas	inas	N;FEM;PL
ịna	a	N;FEM;SG
ịna	igna	N;FEM;SG
ịrba	irbun	N;FEM;SG
ịsta	isiun	N;FEM;SG
ịva	ida	N;FEM;SG
ịza	izi	N;FEM;SG
ịzla	üzla	N;FEM;SG
ọcca	occaria	N;FEM;SG
ọga	ẹga	N;FEM;SG
ọricra	oriker	N;FEM;SG
ọuls	öl	N;MASC;PL
ọvas	ouvas	N;FEM;PL
ụgra	ugher	N;FEM;SG
ụols	uogls	N;MASC;PL
ụorla	uọrla	N;FEM;SG
ụors	ur	N;MASC;PL
ụosta	avụosta	N;FEM;SG
ụostra	ụoster	N;FEM;SG
ụrda	urd	N;FEM;SG
