		N;MASC;SG
a		N;FEM;SG
ads	à	N;MASC;PL
as	s	N;FEM;SG
edepressivums	idepressivum	N;MASC;PL
els	è	N;MASC;PL
els-mezmieur	è-mezmieur	N;MASC;PL
els-mussamel	è-mussamel	N;MASC;PL
els-trampolin	è-trampolin	N;MASC;PL
ens		N;MASC;PL
ens-luf	-luf	N;MASC;PL
era	lera	N;FEM;SG
ergnims	arias	N;MASC;PL
glimajas	lindornas	N;MASC;PL
hitis	itis	N;FEM;PL
ia	s	N;FEM;SG
ids	ì	N;FEM;PL
ies	y	N;MASC;PL
ils chaugross	chaugross	N;MASC;PL
ils chava-aur	chava-aur	N;MASC;PL
ils creacultura	creacultura	N;MASC;PL
ils giramund	giramund	N;MASC;PL
ils globetrotters	globetrotter	N;MASC;PL
ils guardiabogn	guardiabogn	N;MASC;PL
ils guardiachamona	guardiachamona	N;MASC;PL
ils guardiachatscha	guardiachatscha	N;MASC;PL
ils guardiaparc	guardiaparc	N;MASC;PL
ils maina-acziun	maina-acziun	N;MASC;PL
ils mainacurs	mainacurs	N;MASC;PL
ils mainadiscussiun	mainadiscussiun	N;MASC;PL
ils mainagieu	mainagieu	N;MASC;PL
ils mainagruppa	mainagruppa	N;MASC;PL
ils mitschafadias	mitschafadias	N;MASC;PL
ils pajataglias	pajataglia	N;MASC;PL
ils pajataxas	pajataxas	N;MASC;PL
ils portaclavs	portaclavs	N;MASC;PL
ils portavusch	portavusch	N;MASC;PL
ils senzapalpiris	senzapalpiris	N;MASC;PL
ils senzapatria	senzapatria	N;MASC;PL
ils senzaquitads	senzaquitads	N;MASC;PL
ils senzasperanza	senzasperanza	N;MASC;PL
ils senzasuccess	senzasuccess	N;MASC;PL
ils senzatetg	senzatetg	N;MASC;PL
ils spostanaiv	spostanaiv	N;MASC;PL
ils stauschanaiv	stauschanaiv	N;MASC;PL
ils stumplanaiv	stumplanaiv	N;MASC;PL
ils suflavaider	suflavaider	N;MASC;PL
ils tagliacrappa	tagliacrappa	N;MASC;PL
ils taglialaina	taglialaina	N;MASC;PL
ils taglianaiv	taglianaiv	N;MASC;PL
ils tegnairchasas	tegnairchasa	N;MASC;PL
ils trottalontan	trottalontan	N;MASC;PL
ils trottamund	trottamund	N;MASC;PL
ils tschitschapulvra	tschitschapulvra	N;MASC;PL
ils valanagut	valanagut	N;MASC;PL
ils/las mainafatschenta	mainafatschenta	N;MASC;PL
ils/las mainagestiun	mainagestiun	N;MASC;PL
ius		N;MASC;PL
la	fel	N;FEM;SG
la	tel	N;FEM;SG
las	al	N;FEM;PL
las	il	N;FEM;PL
las chava-aur	chava-aur	N;FEM;PL
las creacultura	creacultura	N;FEM;PL
las giramund	giramund	N;FEM;PL
las globetrotteras	globetrottera	N;FEM;PL
las guardiabogn	guardiabogn	N;FEM;PL
las guardiachamona	guardiachamona	N;FEM;PL
las guardiachatscha	guardiachatscha	N;FEM;PL
las guardiaparc	guardiaparc	N;FEM;PL
las maina-acziun	maina-acziun	N;FEM;PL
las mainacurs	mainacurs	N;FEM;PL
las mainadiscussiun	mainadiscussiun	N;FEM;PL
las mainagieu	mainagieu	N;FEM;PL
las mainagruppa	mainagruppa	N;FEM;PL
las mitschafadias	mitschafadias	N;FEM;PL
las pajataglias	pajataglia	N;FEM;PL
las pajataxas	pajataxas	N;FEM;PL
las portavusch	portavusch	N;FEM;PL
las senzapalpiris	senzapalpiris	N;FEM;PL
las senzapatria	senzapatria	N;FEM;PL
las senzaquitads	senzaquitads	N;FEM;PL
las senzasperanza	senzasperanza	N;FEM;PL
las senzasuccess	senzasuccess	N;FEM;PL
las senzatetg	senzatetg	N;FEM;PL
las suflavaider	suflavaider	N;FEM;PL
las tagliacrappa	tagliacrappa	N;FEM;PL
las taglialaina	taglialaina	N;FEM;PL
las trottalontan	trottalontan	N;FEM;PL
las trottamund	trottamund	N;FEM;PL
las valanagut	valanagut	N;FEM;PL
na	en	N;FEM;SG
ne		N;FEM;SG
ola	iel	N;FEM;SG
orniola	argnola	N;FEM;SG
pa		N;FEM;SG
ra	er	N;FEM;SG
ra	her	N;FEM;SG
s		N;MASC;PL
s elefant	-elefant	N;MASC;PL
s-anghel	-anghel	N;MASC;PL
s-bab	-bap	N;MASC;PL
s-balena	-balena	N;MASC;PL
s-ballun	-ballun	N;MASC;PL
s-baselgia	-baselgia	N;FEM;PL
s-basket	-basket	N;FEM;PL
s-bastun	-bastun	N;MASC;PL
s-botsch	-botsch	N;MASC;PL
