		V;NFIN
	air	V;IND;PRS;1;SG
	ar	V;IND;PRS;1;SG
	car	V;IND;PRS;1;SG
	cher	V.PTCP;PST;MASC;PL
	er	V;IND;PRS;1;SG
	far	V;IND;PRS;1;SG
	gnir	V;IMP;2;SG
	iar	V;IND;PRS;1;SG
	ier	V;IND;PRS;1;SG
	ir	V;IND;PRS;1;SG
	lar	V;IND;PRS;1;SG
	mar	V;IND;PRS;1;SG
	par	V;IND;PRS;1;SG
	pir	V;IND;PRS;1;SG
	r	V;IND;PRS;3;SG
	rar	V;IND;PRS;1;SG
	rer	V;IND;PRS;1;SG
	ser	V;IND;PRS;2;SG
	tar	V;IND;PRS;1;SG
	ter	V;IND;PRS;1;SG
	vair	V;IND;PRS;3;SG
	zar	V;IND;PRS;1;SG
 !	r	V;IMP;2;SG
a	cher	V.PTCP;PST;FEM;SG
a	er	V;IND;PRS;3;SG
a	ir	V;IMP;2;SG
a	isar	V;IND;PRS;1;SG
a	r	V;SBJV;PRS;1;SG
a	sar	V;SBJV;PRS;1;SG
a !	ir	V;IMP;2;SG
abilitada	habilitar	V.PTCP;PST;FEM;SG
abilitai	habilitar	V;IMP;2;PL
abilitain	habilitar	V;IND;PRS;1;PL
abilitais	habilitar	V;IND;PRS;2;PL
abilitar	habilitar	V;IND;FUT;1;SG
abilitass	habilitar	V;COND;3;SG
abilitassan	habilitar	V;COND;3;PL
abilitassas	habilitar	V;COND;2;PL
abilitava	habilitar	V;IND;PST;1;SG;IPFV
abilitavan	habilitar	V;IND;PST;3;PL;IPFV
abilitavas	habilitar	V;IND;PST;2;PL;IPFV
abilitesch	habilitar	V;IND;PRS;1;SG
abilitescha	habilitar	V;IND;PRS;3;SG
abiliteschan	habilitar	V;IND;PRS;3;PL
abiliteschas	habilitar	V;IND;PRS;2;SG
abiliteschia	habilitar	V;SBJV;PRS;1;SG
abiliteschian	habilitar	V;SBJV;PRS;3;PL
abiliteschias	habilitar	V;SBJV;PRS;2;SG
abilitond	habilitar	V.PTCP;PRS
abilità	habilitar	V.PTCP;PST;FEM;SG
ada	ir	V.PTCP;PST;FEM;SG
ada	isar	V.PTCP;PST;FEM;SG
ada	mar	V.PTCP;PST;FEM;SG
adas	ir	V.PTCP;PST;FEM;PL
adas	isar	V.PTCP;PST;FEM;PL
adas	mar	V.PTCP;PST;FEM;PL
ads	ir	V.PTCP;PST;MASC;PL
ads	isar	V.PTCP;PST;MASC;PL
ads	mar	V.PTCP;PST;MASC;PL
ai	er	V;IMP;2;PL
