		V;NFIN
	ar	V;IND;PRS;1;SG
	car	V;IND;PRS;1;SG
	cher	V.PTCP;PST;MASC;SG
	eir	V;IND;PRS;1;SG
	er	V;IND;PRS;1;SG
	far	V;IND;PRS;1;SG
	fer	V;IND;PRS;1;SG
	ier	V;IND;PRS;1;SG
	ir	V;IMP;2;PL
	lar	V;IND;PRS;1;SG
	nar	V;IND;PRS;1;SG
	par	V;IND;PRS;1;SG
	r	V;IMP;2;SG
	rar	V;IND;PRS;1;SG
	rer	V;IND;PRS;1;SG
	sar	V;IND;PRS;1;SG
	tar	V;IND;PRS;1;SG
	teir	V;IND;PRS;1;SG
	ter	V;IND;PRS;1;SG
	uer	V;IND;PRS;1;SG
	veir	V;IND;PRS;1;SG
	zar	V;IND;PRS;1;SG
a	cher	V.PTCP;PST;FEM;SG
a	eir	V;SBJV;PRS;3;SG
a	er	V.PTCP;PST;MASC;SG
a	ier	V;SBJV;PRS;1;SG
a	r	V.PTCP;PST;MASC;SG
acler	eclarar	V;IND;PRS;1;SG
aclera	eclarar	V;SBJV;PRS;1;SG
acleran	eclarar	V;SBJV;PRS;1;PL
acleras	eclarar	V;SBJV;PRS;2;PL
ada	er	V.PTCP;PST;FEM;SG
ada	r	V.PTCP;PST;FEM;SG
adas	er	V.PTCP;PST;FEM;PL
adas	r	V.PTCP;PST;FEM;PL
agian	ger	V;SBJV;PRS;3;PL
agiond	eir	V.PTCP;PRS
agn	eir	V;IND;PRS;1;PL
agn	enar	V;IND;PRS;1;SG
agn	er	V;IND;PRS;1;PL
agn	ier	V;IND;PRS;1;PL
agna	enar	V;IND;PRS;3;SG
agnan	enar	V;SBJV;PRS;1;PL
agnas	enar	V;SBJV;PRS;2;SG
agoglias	rgagler	V;SBJV;PRS;2;PL
aimpl	emplar	V;IND;PRS;1;SG
aimpla	emplar	V;SBJV;PRS;1;SG
aimplan	emplar	V;SBJV;PRS;1;PL
aimplas	emplar	V;SBJV;PRS;2;PL
ain	ir	V;SBJV;PRS;1;PL
aint	entar	V;IND;PRS;1;SG
ainta	entar	V;SBJV;PRS;1;SG
aintan	entar	V;SBJV;PRS;3;PL
aintas	entar	V;SBJV;PRS;2;SG
airo	er	V;IND;FUT;3;SG
airon	ier	V;IND;FUT;1;PL
airossas	er	V;IND;FUT;2;PL
airossas	ier	V;IND;FUT;2;PL
ais	ier	V;SBJV;PRS;2;SG
alung	ulanar	V;IND;PRS;1;SG
alunga	ulanar	V;IND;PRS;3;SG
alungan	ulanar	V;SBJV;PRS;1;PL
alungas	ulanar	V;SBJV;PRS;2;SG
amplung	umplanar	V;IND;PRS;1;SG
amplunga	umplanar	V;SBJV;PRS;1;SG
amplungan	umplanar	V;SBJV;PRS;3;PL
