		V;NFIN
	ar	V;SBJV;PRS;1;SG
	car	V.PTCP;PST;MASC;SG
	cher	V.PTCP;PST;MASC;PL
	der	V;IMP;2;SG
	er	V.PTCP;PST;MASC;SG
	ir	V;IND;PRS;3;SG
	r	V;IND;PRS;3;SG
	ver	V;IND;PRS;3;SG
-chei	car	V;IMP;2;PL
-cheien	car	V;SBJV;PRS;1;PL
-cheies	car	V;SBJV;PRS;2;PL
-chein	car	V;IND;PRS;1;PL
-cheis	car	V;IND;PRS;2;PL
-chel	car	V;IND;PRS;1;SG
-chescha	car	V;IND;PRS;3;SG
-cheschan	car	V;IND;PRS;3;PL
-cheschas	car	V;IND;PRS;2;SG
-cheschel	car	V;IND;PRS;1;SG
-cheschi	car	V;SBJV;PRS;1;SG
-cheschien	car	V;SBJV;PRS;1;PL
-cheschies	car	V;SBJV;PRS;2;PL
-chi	car	V;SBJV;PRS;3;SG
-chien	car	V;SBJV;PRS;3;PL
-chies	car	V;SBJV;PRS;2;PL
-heies	ar	V;SBJV;PRS;2;PL
a	cher	V.PTCP;PST;FEM;SG
a	er	V;IMP;2;SG
a	ir	V;IMP;2;SG
a	r	V;IND;PRS;3;SG
accuna	uccanar	V;IMP;2;SG
accunan	uccanar	V;IND;PRS;3;PL
accunas	uccanar	V;IND;PRS;2;SG
accunel	uccanar	V;IND;PRS;1;SG
accuni	uccanar	V;SBJV;PRS;1;SG
accunien	uccanar	V;SBJV;PRS;1;PL
accunies	uccanar	V;SBJV;PRS;2;PL
acra	ecrar	V;IND;PRS;3;SG
acran	ecrar	V;IND;PRS;3;PL
acras	ecrar	V;IND;PRS;2;SG
acrel	ecrar	V;IND;PRS;1;SG
acri	ecrar	V;SBJV;PRS;1;SG
acrien	ecrar	V;SBJV;PRS;3;PL
acries	ecrar	V;SBJV;PRS;2;PL
ada	er	V.PTCP;PST;FEM;SG
adas	er	V.PTCP;PST;FEM;PL
affuna	uffanar	V;IND;PRS;3;SG
affunan	uffanar	V;IND;PRS;3;PL
affunas	uffanar	V;IND;PRS;2;SG
affunel	uffanar	V;IND;PRS;1;SG
affuni	uffanar	V;SBJV;PRS;1;SG
affunien	uffanar	V;SBJV;PRS;3;PL
affunies	uffanar	V;SBJV;PRS;2;PL
agel	igiar	V;IND;PRS;1;SG
aghira	igrar	V;IND;PRS;3;SG
aghiran	igrar	V;IND;PRS;3;PL
aghiras	igrar	V;IND;PRS;2;SG
aghirel	igrar	V;IND;PRS;1;SG
aghiri	igrar	V;SBJV;PRS;1;SG
aghirien	igrar	V;SBJV;PRS;3;PL
aghiries	igrar	V;SBJV;PRS;2;PL
aghuglia	ughigliar	V;IMP;2;SG
agi	igiar	V;SBJV;PRS;1;SG
agia	igiar	V;IND;PRS;3;SG
agian	igiar	V;IND;PRS;3;PL
agias	igiar	V;IND;PRS;2;SG
agien	igiar	V;SBJV;PRS;1;PL
agies	igiar	V;SBJV;PRS;2;PL
agiola	ugialar	V;IND;PRS;3;SG
agiolan	ugialar	V;IND;PRS;3;PL
agiolas	ugialar	V;IND;PRS;2;SG
agiolel	ugialar	V;IND;PRS;1;SG
agioli	ugialar	V;SBJV;PRS;1;SG
agiolien	ugialar	V;SBJV;PRS;3;PL
agiolies	ugialar	V;SBJV;PRS;2;PL
agli	gliar	V;SBJV;PRS;1;SG
agli	higliar	V;SBJV;PRS;1;SG
agli	igliar	V;SBJV;PRS;1;SG
aglia	gliar	V;IND;PRS;3;SG
aglia	higliar	V;IND;PRS;3;SG
aglia	igliar	V;IMP;2;SG
aglian	gliar	V;IND;PRS;3;PL
aglian	higliar	V;IND;PRS;3;PL
aglian	igliar	V;IND;PRS;3;PL
aglias	gliar	V;IND;PRS;2;SG
aglias	higliar	V;IND;PRS;2;SG
aglias	igliar	V;IND;PRS;2;SG
agliel	gliar	V;IND;PRS;1;SG
agliel	higliar	V;IND;PRS;1;SG
agliel	igliar	V;IND;PRS;1;SG
aglien	gliar	V;SBJV;PRS;3;PL
aglien	higliar	V;SBJV;PRS;1;PL
aglien	igliar	V;SBJV;PRS;3;PL
aglies	gliar	V;SBJV;PRS;2;PL
aglies	higliar	V;SBJV;PRS;2;PL
aglies	igliar	V;SBJV;PRS;2;PL
agna	ignar	V;IMP;2;SG
agnan	ignar	V;IND;PRS;3;PL
agnas	ignar	V;IND;PRS;2;SG
agnel	ignar	V;IND;PRS;1;SG
agni	ignar	V;SBJV;PRS;1;SG
agnien	ignar	V;SBJV;PRS;1;PL
agnies	ignar	V;SBJV;PRS;2;PL
agola	ugalar	V;IND;PRS;3;SG
agolan	ugalar	V;IND;PRS;3;PL
agolas	ugalar	V;IND;PRS;2;SG
agolel	ugalar	V;IND;PRS;1;SG
agoli	ugalar	V;SBJV;PRS;1;SG
agolien	ugalar	V;SBJV;PRS;3;PL
agolies	ugalar	V;SBJV;PRS;2;PL
aguda	ugadar	V;IND;PRS;3;SG
agudan	ugadar	V;IND;PRS;3;PL
agudas	ugadar	V;IND;PRS;2;SG
agudel	ugadar	V;IND;PRS;1;SG
agudi	ugadar	V;SBJV;PRS;1;SG
agudien	ugadar	V;SBJV;PRS;3;PL
agudies	ugadar	V;SBJV;PRS;2;PL
agugli	ughigliar	V;SBJV;PRS;1;SG
aguglia	ughigliar	V;IND;PRS;3;SG
aguglian	ughigliar	V;IND;PRS;3;PL
aguglias	ughigliar	V;IND;PRS;2;SG
agugliel	ughigliar	V;IND;PRS;1;SG
aguglien	ughigliar	V;SBJV;PRS;3;PL
aguglies	ughigliar	V;SBJV;PRS;2;PL
aguna	uganar	V;IND;PRS;3;SG
agunan	uganar	V;IND;PRS;3;PL
agunas	uganar	V;IND;PRS;2;SG
agunel	uganar	V;IND;PRS;1;SG
aguni	uganar	V;SBJV;PRS;1;SG
agunien	uganar	V;SBJV;PRS;3;PL
agunies	uganar	V;SBJV;PRS;2;PL
aguola	ugalar	V;IND;PRS;3;SG
aguolan	ugalar	V;IND;PRS;3;PL
aguolas	ugalar	V;IND;PRS;2;SG
aguolel	ugalar	V;IND;PRS;1;SG
aguoli	ugalar	V;SBJV;PRS;1;SG
aguolien	ugalar	V;SBJV;PRS;3;PL
aguolies	ugalar	V;SBJV;PRS;2;SG
ahuna	uhanar	V;IND;PRS;3;SG
ahunan	uhanar	V;IND;PRS;3;PL
ahunas	uhanar	V;IND;PRS;2;SG
ahunel	uhanar	V;IND;PRS;1;SG
ahuni	uhanar	V;SBJV;PRS;3;SG
ahunien	uhanar	V;SBJV;PRS;3;PL
ahunies	uhanar	V;SBJV;PRS;2;PL
ai	er	V;IND;PRS;3;SG
aian	er	V;IND;PRS;3;PL
aias	er	V;IND;PRS;2;SG
aida	idar	V;IMP;2;SG
aidan	idar	V;IND;PRS;3;PL
aidas	idar	V;IND;PRS;2;SG
aidel	idar	V;IND;PRS;1;SG
aidi	idar	V;SBJV;PRS;1;SG
aidien	idar	V;SBJV;PRS;3;PL
aidies	idar	V;SBJV;PRS;2;PL
aiel	er	V;IND;PRS;1;SG
aigen	er	V;SBJV;PRS;1;PL
aigi	er	V;SBJV;PRS;3;SG
aigien	er	V;SBJV;PRS;1;PL
aigies	er	V;SBJV;PRS;2;SG
ain	er	V;IND;PRS;3;PL
ais	er	V;IND;PRS;2;SG
altschuna	ultschanar	V;IMP;2;SG
altschunan	ultschanar	V;IND;PRS;3;PL
altschunas	ultschanar	V;IND;PRS;2;SG
altschunel	ultschanar	V;IND;PRS;1;SG
altschuni	ultschanar	V;SBJV;PRS;1;SG
altschunien	ultschanar	V;SBJV;PRS;3;PL
altschunies	ultschanar	V;SBJV;PRS;2;PL
aluna	ulanar	V;IND;PRS;3;SG
aluna	ullenar	V;IMP;2;SG
alunan	ulanar	V;IND;PRS;3;PL
alunan	ullenar	V;IND;PRS;3;PL
alunas	ulanar	V;IND;PRS;2;SG
alunas	ullenar	V;IND;PRS;2;SG
alunel	ulanar	V;IND;PRS;1;SG
alunel	ullenar	V;IND;PRS;1;SG
aluni	ulanar	V;SBJV;PRS;1;SG
aluni	ullenar	V;SBJV;PRS;1;SG
alunien	ulanar	V;SBJV;PRS;1;PL
alunien	ullenar	V;SBJV;PRS;3;PL
alunies	ulanar	V;SBJV;PRS;2;PL
alunies	ullenar	V;SBJV;PRS;2;SG
amoda	umadar	V;IMP;2;SG
amodan	umadar	V;IND;PRS;3;PL
amodas	umadar	V;IND;PRS;2;SG
amodel	umadar	V;IND;PRS;1;SG
amodi	umadar	V;SBJV;PRS;1;SG
amodien	umadar	V;SBJV;PRS;3;PL
amodies	umadar	V;SBJV;PRS;2;PL
amogna	umignar	V;IMP;2;SG
amognan	umignar	V;IND;PRS;3;PL
amognas	umignar	V;IND;PRS;2;SG
amognel	umignar	V;IND;PRS;1;SG
amogni	umignar	V;SBJV;PRS;1;SG
amognien	umignar	V;SBJV;PRS;3;PL
amognies	umignar	V;SBJV;PRS;2;PL
amonda	umandar	V;IND;PRS;3;SG
amondan	umandar	V;IND;PRS;3;PL
amondas	umandar	V;IND;PRS;2;SG
amondel	umandar	V;IND;PRS;1;SG
amondi	umandar	V;SBJV;PRS;1;SG
amondien	umandar	V;SBJV;PRS;3;PL
amondies	umandar	V;SBJV;PRS;2;PL
ampluna	umplanar	V;IND;PRS;3;SG
