		N;MASC;SG
a		N;FEM;SG
a	ia	N;FEM;SG
a	la	N;FEM;SG
ada	o	N;FEM;SG
ada	ola	N;FEM;SG
agh-	ighigeader	N;FEM;SG
aghetg	ighetg	N;FEM;SG
agia	iagia	N;FEM;SG
agiàna	igiàna	N;FEM;SG
aglia	eglia	N;FEM;SG
aglieadra	uglieadra	N;FEM;SG
agliola	igliola	N;FEM;SG
agliànts	igliànts	N;MASC;PL
agnuca	ignuca	N;FEM;SG
agnura	ignura	N;FEM;SG
agnureia	ignureia	N;FEM;SG
aingla	eingla	N;FEM;SG
aliet	iliet	N;FEM;SG
aliez	iliez	N;FEM;SG
amegl	imegl	N;FEM;SG
amoda	umoda	N;FEM;SG
amunda	umonda	N;FEM;SG
ansegna	un-	N;FEM;SG
antgegna	lantgegna	N;FEM;SG
antogna	untogna	N;FEM;SG
antàna	untàna	N;FEM;SG
ara	iara	N;FEM;SG
arscheglia	ischeglia	N;FEM;SG
arsola	ursola	N;FEM;SG
artada	irtada	N;FEM;SG
aseta	eta	N;FEM;SG
ata	iata	N;FEM;SG
aua	uva	N;FEM;SG
ba	va	N;FEM;SG
bargugna	vargugna	N;FEM;SG
barola	varola	N;FEM;SG
bau		N;FEM;SG
bida	vida	N;FEM;SG
bissa	ssa	N;FEM;SG
bita	ssa	N;FEM;SG
bizocels	pizocels	N;MASC;PL
bla	la	N;FEM;SG
bla	vla	N;FEM;SG
blada	vlada	N;FEM;SG
brenzla	(s)brenzla	N;FEM;SG
bricla	viricla	N;FEM;SG
brànda	vrànda	N;FEM;SG
bundànza	(a)bundànza	N;FEM;SG
ca	gia	N;FEM;SG
ca	tga	N;FEM;SG
cada	tgeada	N;FEM;SG
caglia	tgaglia	N;FEM;SG
cala	tgeala	N;FEM;SG
camischa	tgamischa	N;FEM;SG
camischola	tgamischola	N;FEM;SG
canveala	tganveala	N;FEM;SG
capeala	tgapeala	N;FEM;SG
cargia	tgargia	N;FEM;SG
carlata	tgarlata	N;FEM;SG
carmaregna	harmaregna	N;FEM;SG
carplegna	(s)carplegna	N;FEM;SG
carschadetgna	(an)carschadetgna	N;FEM;SG
carta	tgarta	N;FEM;SG
casaregna	tgasaregna	N;FEM;SG
catla	tgatla	N;FEM;SG
catscha	tgatscha	N;FEM;SG
cava	tgeava	N;FEM;SG
cavala	tgavala	N;FEM;SG
cavalcada	tgavaltgeada	N;FEM;SG
cavalera	tgavalera	N;FEM;SG
cavaza	tgavaza	N;FEM;SG
cavazada	tgavazada	N;FEM;SG
caza	tgaza	N;FEM;SG
cesma	tgesma	N;FEM;SG
cesmas	tgesmas	N;FEM;PL
chetgira	etgira	N;FEM;SG
chiaintacavels	iaintatgavels	N;MASC;PL
chiaintamàns	iaintamàns	N;MASC;PL
chiaintatenta	iaintatenta	N;FEM;SG
chigeada	ageada	N;FEM;SG
chnoca	gnoca	N;FEM;SG
