		V;NFIN
	ar	V;IND;PRS;1;SG
	asser	V;IND;PRS;3;SG
	cher	V.PTCP;PST;MASC;PL
	ear	V;IND;PRS;1;SG
	er	V;IND;PRS;1;SG
	iear	V;IND;PRS;1;SG
	ir	V;IND;PRS;1;SG
	r	V;IND;PRS;3;SG
	ver	V;IND;PRS;3;SG
a	cher	V.PTCP;PST;FEM;SG
a	ear	V;IND;PRS;3;SG
a	er	V;IMP;2;SG
a	ir	V;IMP;2;SG
a	r	V;IMP;2;SG
abagn	eber	V;IND;PRS;1;PL
abed	eber	V;IMP;2;PL
abeian	eber	V;SBJV;PRS;1;PL
abeias	eber	V;SBJV;PRS;2;PL
abess	eber	V;COND;3;SG
abessan	eber	V;COND;1;PL
abessas	eber	V;COND;2;SG
abeva	eber	V;IND;PST;1;SG;IPFV
abevan	eber	V;IND;PST;3;PL;IPFV
abevas	eber	V;IND;PST;2;SG;IPFV
abez	eber	V;IND;PRS;2;PL
abida	eber	V.PTCP;PST;FEM;SG
abidas	eber	V.PTCP;PST;FEM;PL
abieu	eber	V.PTCP;PST;MASC;SG
abieus	eber	V.PTCP;PST;MASC;PL
abànd	eber	V.PTCP;PRS
acùn	ucanar	V;IND;PRS;1;SG
acùna	ucanar	V;IMP;2;SG
acùnan	canar	V;SBJV;PRS;3;PL
acùnan	ucanar	V;IND;PRS;3;PL
acùnas	ucanar	V;SBJV;PRS;2;SG
acùnel	ucanar	V;IND;PRS;1;SG
acùni	ucanar	V;SBJV;PRS;3;SG
acùnian	ucanar	V;SBJV;PRS;3;PL
acùnias	ucanar	V;SBJV;PRS;2;SG
ad	ear	V;IMP;2;PL
ad	er	V;IMP;2;PL
ad	ir	V;IMP;2;PL
ada	ear	V.PTCP;PST;FEM;SG
ada	er	V.PTCP;PST;FEM;SG
ada	ir	V.PTCP;PST;FEM;SG
adagn	eader	V;IND;PRS;1;PL
adas	ear	V.PTCP;PST;FEM;PL
adas	er	V.PTCP;PST;FEM;PL
adas	ir	V.PTCP;PST;FEM;PL
aded	eader	V;IMP;2;PL
adeian	eader	V;SBJV;PRS;1;PL
adeias	eader	V;SBJV;PRS;2;PL
adess	eader	V;COND;1;SG
adessan	eader	V;COND;3;PL
adessas	eader	V;COND;2;SG
adeva	eader	V;IND;PST;1;SG;IPFV
adevan	eader	V;IND;PST;3;PL;IPFV
adevas	eader	V;IND;PST;2;PL;IPFV
adez	eader	V;IND;PRS;2;PL
adida	eader	V.PTCP;PST;FEM;SG
adidas	eader	V.PTCP;PST;FEM;PL
adieu	eader	V.PTCP;PST;MASC;SG
adieus	eader	V.PTCP;PST;MASC;PL
adànd	eader	V.PTCP;PRS
aged	eger	V;IMP;2;PL
ageian	eger	V;SBJV;PRS;1;PL
ageias	eger	V;SBJV;PRS;2;PL
agess	eger	V;COND;1;SG
agessan	eger	V;COND;1;PL
agessas	eger	V;COND;2;PL
ageva	eger	V;IND;PST;1;SG;IPFV
agevan	eger	V;IND;PST;1;PL;IPFV
agevas	eger	V;IND;PST;2;SG;IPFV
agez	eger	V;IND;PRS;2;PL
agiagn	eger	V;IND;PRS;1;PL
agiagn	ir	V;IND;PRS;1;PL
agida	eger	V.PTCP;PST;FEM;SG
agidas	eger	V.PTCP;PST;FEM;PL
agied	eger	V;IMP;2;PL
agieian	eger	V;SBJV;PRS;1;PL
agieias	eger	V;SBJV;PRS;2;PL
agiess	eger	V;COND;3;SG
agiessan	eger	V;COND;1;PL
agiessas	eger	V;COND;2;PL
agieu	eger	V.PTCP;PST;MASC;SG
agieus	eger	V.PTCP;PST;MASC;PL
agieva	eger	V;IND;PST;1;SG;IPFV
agievan	eger	V;IND;PST;1;PL;IPFV
agievas	eger	V;IND;PST;2;PL;IPFV
agiez	eger	V;IND;PRS;2;PL
agiida	eger	V.PTCP;PST;FEM;SG
agiidas	eger	V.PTCP;PST;FEM;PL
agiieu	eger	V.PTCP;PST;MASC;SG
agiieus	eger	V.PTCP;PST;MASC;PL
agiss	eger	V;COND;1;SG
agiànd	eger	V.PTCP;PRS
agn	ear	V;IND;PRS;1;PL
agn	er	V;IND;PRS;1;PL
agn	ir	V;IND;PRS;1;PL
agn	r	V;IND;PRS;1;PL
agnagn	ignear	V;IND;PRS;1;PL
agnead	ignear	V;IMP;2;PL
agneada	ignear	V.PTCP;PST;FEM;SG
agneadas	ignear	V.PTCP;PST;FEM;PL
agnear	ignear	V;IND;FUT;1;PL
agneava	ignear	V;IND;PST;1;SG;IPFV
agneavan	ignear	V;IND;PST;3;PL;IPFV
agneavas	ignear	V;IND;PST;2;PL;IPFV
agneaz	ignear	V;IND;PRS;2;PL
agneian	ignear	V;SBJV;PRS;1;PL
agneias	ignear	V;SBJV;PRS;2;PL
agness	ignear	V;COND;1;SG
agnessan	ignear	V;COND;1;PL
agnessas	ignear	V;COND;2;PL
agnieu	ignear	V.PTCP;PST;MASC;SG
agnieus	ignear	V.PTCP;PST;MASC;PL
agnànd	ignear	V.PTCP;PRS
agunad	uganar	V;IMP;2;PL
agunada	uganar	V.PTCP;PST;FEM;SG
agunadas	uganar	V.PTCP;PST;FEM;PL
agunagn	uganar	V;IND;PRS;1;PL
agunar	uganar	V;IND;FUT;2;SG
agunass	uganar	V;COND;1;SG
agunassan	uganar	V;COND;1;PL
agunassas	uganar	V;COND;2;PL
agunava	uganar	V;IND;PST;1;SG;IPFV
agunavan	uganar	V;IND;PST;1;PL;IPFV
agunavas	uganar	V;IND;PST;2;PL;IPFV
agunaz	uganar	V;IND;PRS;2;PL
aguneian	uganar	V;SBJV;PRS;1;PL
aguneias	uganar	V;SBJV;PRS;2;PL
