		ADJ;MASC;SG
a		ADJ;FEM;SG
a	i	ADJ;FEM;SG
a	t	ADJ;FEM;SG
a sco ün rại		ADJ;FEM;SG
a sco ụ̈na plạtta		ADJ;FEM;SG
ada	à	ADJ;FEM;SG
adas	à	ADJ;FEM;PL
adrịtscha	ạcha	ADJ;FEM;SG
anclạts	ạnclà	ADJ;MASC;PL
arạla	erạl	ADJ;FEM;SG
as		ADJ;FEM;PL
ats	à	ADJ;MASC;PL
ạda	à	ADJ;FEM;SG
ạinta	ạint	ADJ;FEM;SG
ạsca	ạsc	ADJ;FEM;SG
bla	el	ADJ;FEM;SG
ca		ADJ;FEM;SG
cha	fi	ADJ;FEM;SG
cha	i	ADJ;FEM;SG
da		ADJ;FEM;SG
das		ADJ;FEM;PL
das	̣	ADJ;FEM;PL
ers	arpaglià	ADJ;MASC;PL
ẹa	è	ADJ;FEM;SG
ẹmpla	ẹmpel	ADJ;FEM;SG
ẹrcha	ẹrch	ADJ;FEM;SG
ẹsbica	ẹsbic	ADJ;FEM;SG
fa		ADJ;FEM;SG
gia	i	ADJ;FEM;SG
ia		ADJ;FEM;SG
igna	gen	ADJ;FEM;SG
igra	jer	ADJ;FEM;SG
iuntadạivla	untadạivel	ADJ;FEM;SG
ịda	ị	ADJ;FEM;SG
ịnra	ịner	ADJ;FEM;SG
ịtscha	ịtsch	ADJ;FEM;SG
iụs	chụs	ADJ;MASC;PL
la		ADJ;FEM;SG
la	al	ADJ;FEM;SG
la	el	ADJ;FEM;SG
la	fal	ADJ;FEM;SG
la	il	ADJ;FEM;SG
la	tel	ADJ;FEM;SG
la	uel	ADJ;FEM;SG
ma	em	ADJ;FEM;SG
ma	sem	ADJ;FEM;SG
mamẹnta	rmanẹnt	ADJ;FEM;SG
na		ADJ;FEM;SG
na	en	ADJ;FEM;SG
nadattạts	inadattà	ADJ;MASC;PL
nconstạnta	inconstạnt	ADJ;FEM;SG
ndriụs	ondriụs	ADJ;MASC;PL
nfạtica	mfạtic	ADJ;FEM;SG
nudịts	inudị	ADJ;MASC;PL
nụs	gnụs	ADJ;MASC;PL
ondrajụs	uondriụs	ADJ;MASC;PL
ot-inamurạda	ọt-inamurà	ADJ;FEM;SG
ot-inamurạdas	ọt-inamurà	ADJ;FEM;PL
ọgna	ọgn	ADJ;FEM;SG
ọrna	ọrn	ADJ;FEM;SG
ọtschna	ọtschen	ADJ;FEM;SG
pa		ADJ;FEM;SG
proporziunạda	bainproporziunà	ADJ;FEM;SG
proporziunạdas	bainproporziunà	ADJ;FEM;PL
proporziunạts	bainproporziunà	ADJ;MASC;PL
ra	ar	ADJ;FEM;SG
ra	er	ADJ;FEM;SG
ra	fer	ADJ;FEM;SG
ra	her	ADJ;FEM;SG
ra	ker	ADJ;FEM;SG
ra	ter	ADJ;FEM;SG
ra	zer	ADJ;FEM;SG
rachạda	frachà	ADJ;FEM;SG
ras	er	ADJ;FEM;PL
rịschma	ferịschem	ADJ;FEM;SG
s		ADJ;MASC;PL
s	der	ADJ;MASC;PL
s	dscher	ADJ;MASC;PL
s	ns	ADJ;MASC;PL
s	ojer	ADJ;MASC;PL
s	onder	ADJ;MASC;PL
s	̣	ADJ;MASC;PL
s!		ADJ;FEM;SG
sa		ADJ;FEM;SG
sa	ṣ	ADJ;FEM;SG
sas		ADJ;FEM;PL
satọrica	ṣatọric	ADJ;FEM;SG
sbuorflạda	ṣbuorflà	ADJ;FEM;SG
sbuorflạdas	ṣbuorflà	ADJ;FEM;PL
sbuorflạts	ṣbuorflà	ADJ;MASC;PL
schla	ṣchel	ADJ;FEM;SG
schonurạivla	ṣchonurạivel	ADJ;FEM;SG
sifichạbla	ṣifichạbel	ADJ;FEM;SG
sla	ṣel	ADJ;FEM;SG
stimạda	timà	ADJ;FEM;SG
stimạdas	timà	ADJ;FEM;PL
stimạts	timà	ADJ;MASC;PL
surmuntạbla	ṣurmuntạbel	ADJ;FEM;SG
surpạda	ṣurpà	ADJ;FEM;SG
surpạdas	ṣurpà	ADJ;FEM;PL
surpạts	ṣurpà	ADJ;MASC;PL
surviṣịbla	ṣurviṣịbel	ADJ;FEM;SG
ṣchla	ṣchel	ADJ;FEM;SG
ṣọfica	ṣọfic	ADJ;FEM;SG
ṣọrica	ṣọric	ADJ;FEM;SG
sạts	ṣà	ADJ;MASC;PL
sịva	ṣịv	ADJ;FEM;SG
ta		ADJ;FEM;SG
tas		ADJ;FEM;PL
ts		ADJ;MASC;PL
ts	da	ADJ;FEM;PL
ts	̣	ADJ;MASC;PL
tschierplụs	ögl	ADJ;MASC;PL
tschinch	quạtter	ADJ;FEM;SG
tṣ	̣	ADJ;FEM;SG
ua		ADJ;FEM;SG
ụ̈cha	üch	ADJ;FEM;SG
ụ̈fcha	üfch	ADJ;FEM;SG
ụ̈ma	üm	ADJ;FEM;SG
ụ̈ra	ür	ADJ;FEM;SG
ụ̈sta	üst	ADJ;FEM;SG
ụ̈zza	üz	ADJ;FEM;SG
ụṣa	ụs	ADJ;FEM;SG
uṣa	ụs	ADJ;FEM;SG
uṣas	ụs	ADJ;FEM;PL
za		ADJ;FEM;SG
ụ̈da	dụ̈	ADJ;FEM;SG
̣a		ADJ;FEM;SG
̣a	,	ADJ;FEM;SG
̣as	,	ADJ;FEM;PL
̣cha	ch	ADJ;FEM;SG
̣da		ADJ;FEM;SG
̣da	d	ADJ;FEM;SG
̣da	̀	ADJ;FEM;SG
̣da	̣̀	ADJ;FEM;SG
̣das		ADJ;FEM;PL
̣ffa	f	ADJ;FEM;SG
̣glia	gl	ADJ;FEM;SG
̣la	l	ADJ;FEM;SG
̣lla	l	ADJ;FEM;SG
̣lta	lt	ADJ;FEM;SG
̣ma	m	ADJ;FEM;SG
̣mla	mịl	ADJ;FEM;SG
̣na	n	ADJ;FEM;SG
̣nca	nc	ADJ;FEM;SG
̣ntscha	ntsch	ADJ;FEM;SG
̣ọla	ol	ADJ;FEM;SG
̣ra	r	ADJ;FEM;SG
̣rcha	rch	ADJ;FEM;SG
̣rta	rt	ADJ;FEM;SG
̣rịschma	rịschem	ADJ;FEM;SG
̣sa	s	ADJ;FEM;SG
̣sca	sc	ADJ;FEM;SG
̣scha	sch	ADJ;FEM;SG
̣ssa	ss	ADJ;FEM;SG
̣sta	st	ADJ;FEM;SG
̣ṣcha	sch	ADJ;FEM;SG
̣ta	t	ADJ;FEM;SG
̣ts		ADJ;MASC;PL
̣tscha	tsch	ADJ;FEM;SG
̣tta	t	ADJ;FEM;SG
̣vlạdas	üvlà	ADJ;FEM;PL
̣zza	z	ADJ;FEM;SG
̣ṣa	s	ADJ;FEM;SG
ṣa	s	ADJ;FEM;SG
ṣas	s	ADJ;FEM;PL
ṣcha	sch	ADJ;FEM;SG
