		N;MASC;SG
	ch	N;FEM;PL
	it	N;MASC;PL
a		N;FEM;SG
a	i	N;FEM;SG
a	un	N;FEM;SG
a da skis		N;MASC;PL
adrụ̈tscha	ịma	N;FEM;SG
ads	à	N;FEM;PL
agiạda	chada	N;FEM;SG
agnaduọira	ognaduoira	N;FEM;SG
agnarọ̈la	ognaduoira	N;FEM;SG
agnạda	ognada	N;FEM;SG
agnạda	ognạda	N;FEM;SG
agnẹra	ognera	N;FEM;SG
aguagliạda	pizch	N;FEM;SG
algordạnza	regordạnza	N;FEM;SG
alạuda	laudinẹlla	N;FEM;SG
alịngia	gialịngia	N;FEM;SG
alụns	igluns	N;MASC;PL
ambrẹtta	ombretta	N;FEM;SG
ammiạda	ommiada	N;FEM;SG
ammẹra	ommera	N;FEM;SG
amparịa	omparia	N;FEM;SG
andẹra	indẹra	N;FEM;SG
angẹra	ongera	N;FEM;SG
angẹtta	ongetta	N;FEM;SG
annẹtta	onnetta	N;FEM;SG
antịna	entạgl	N;FEM;SG
anzụa	uzua	N;FEM;SG
anẹlla	inella	N;FEM;SG
apodọuvra	heudọuvra	N;FEM;SG
arampạna	rampana	N;FEM;SG
ariọua	reua	N;FEM;SG
armaṣchịa	ramaṣchịa	N;FEM;SG
arschadẹlla	ratschadella	N;FEM;SG
arsọula	hliousa	N;FEM;SG
arvẹnda	ravẹnda	N;FEM;SG
arạldica	eraldica	N;FEM;SG
arịa	ità	N;FEM;SG
arịna	er	N;FEM;SG
as	s	N;FEM;PL
aschẹlla	ratschadella	N;FEM;SG
ats	à	N;MASC;PL
azzịnas	ạzzas	N;FEM;PL
azụa	uzua	N;FEM;SG
aṣchinạnza	icinạnza	N;FEM;SG
banderala	zẹndra	N;FEM;SG
bargiamịna	pergiamina	N;FEM;SG
battapọns	sbattapons	N;MASC;PL
bra	ivra	N;FEM;SG
bạiva	licazịn	N;FEM;SG
carbonạra	spaghẹts	N;FEM;SG
charn crụ̈ja	puọlpa	N;FEM;SG
charn d'ọglia	puọlpa	N;FEM;SG
charpẹllas	s-charpẹllas	N;FEM;PL
chịna	̣ch	N;FEM;SG
chüṣatọffas	puotụnz	N;FEM;PL
chẹcla	boccạl	N;FEM;SG
chịa	ịa	N;FEM;SG
clịna	tschuffa	N;FEM;SG
clụns	glụns	N;MASC;PL
cra	ker	N;FEM;SG
cra da dạints	ker	N;MASC;PL
crapẹllas	s-charpẹllas	N;FEM;PL
cras	ker	N;FEM;PL
cudrịa	quadria	N;FEM;SG
cunạda	tunada	N;FEM;SG
dlạda	rlada	N;FEM;SG
dlẹra	rlada	N;FEM;SG
ds		N;MASC;PL
ds	̣	N;MASC;PL
dscha	scha	N;FEM;SG
dschụffa	tschuffa	N;FEM;SG
dẹlla	adẹlla	N;FEM;SG
ectụra	ẹcter	N;FEM;SG
egnatụra	ignatura	N;FEM;SG
els	è	N;MASC;PL
els-glạtsch	è-glạtsch	N;MASC;PL
emplạdra	aminà	N;FEM;SG
endrügliạinta	andurlainta	N;FEM;SG
endụ̈da	andụ̈da	N;FEM;SG
ernạcca	rạcca	N;FEM;SG
erprạiṣa	rapraisa	N;FEM;SG
es	è	N;MASC;PL
ettạdra	lettạder	N;FEM;SG
ẹls	è	N;MASC;PL
ẹs	è	N;MASC;PL
fanọjas	nfanojas	N;FEM;PL
farạtscha	paratscha	N;FEM;SG
flur grọmma	radichel	N;FEM;SG
flẹtta	s-chalpetta	N;FEM;SG
ftụ̈ra	vtụ̈ra	N;FEM;SG
fọ̈gls	vs	N;MASC;PL
fạndra	ẹrba	N;FEM;SG
fẹndscha	infẹndscha	N;FEM;SG
gia	ia	N;FEM;SG
giarẹccals	jarẹccals	N;MASC;PL
giọcca	jocca	N;FEM;SG
glivrạda	finischun	N;FEM;SG
grẹmbla	ṣgrọmbla	N;FEM;SG
grọmbla	ṣgrọmbla	N;FEM;SG
guerschiạda	sguerschiạda	N;FEM;SG
guọglia	aguọglia	N;FEM;SG
gọ̈la	riọ̈la	N;FEM;SG
gịa	dschia	N;FEM;SG
ia	cha	N;FEM;SG
ibilitạts	ịbilità	N;FEM;PL
iblạda	üblada	N;FEM;SG
ibọtta	abọtta	N;FEM;SG
idra	ịder	N;FEM;SG
iluọzza	aluozza	N;FEM;SG
inquịsta	retschercha	N;FEM;SG
intrạda	entrạda	N;FEM;SG
isọgna	agogna	N;FEM;SG
its	ị	N;MASC;PL
itschẹlla	ütschella	N;FEM;SG
iṣchẹlla	aṣchọ̈la	N;FEM;SG
iṣẹtta	erpaischem	N;FEM;SG
iọlas	agnoulas	N;FEM;PL
ja	a	N;FEM;SG
jadụ̈ra	spadüras	N;FEM;SG
jalẹṣas	gialẹṣchas	N;FEM;PL
jalẹṣchas	gialẹṣchas	N;FEM;PL
jinụ̈ra	gianüra	N;FEM;SG
jittụ̈ras	gittụ̈ras	N;FEM;PL
jugạls	conjugals	N;MASC;PL
jụ̈tta	gütta	N;FEM;SG
la	al	N;FEM;SG
la	cal	N;FEM;SG
la	el	N;FEM;SG
la	il	N;FEM;SG
la	tel	N;FEM;SG
la	za	N;FEM;SG
lappạlia	piculezza	N;FEM;SG
lossarịa	rossaria	N;FEM;SG
ls	gl	N;MASC;PL
lza	zza	N;FEM;SG
lẹtta	hẹtta	N;FEM;SG
lẹzna	seglia	N;FEM;SG
lụna	rụna	N;FEM;SG
mạinta	rịa	N;FEM;SG
mạlgia	scossa	N;FEM;SG
mạns	intamans	N;MASC;PL
mẹzcha	bacharịa	N;FEM;SG
mụrra	gö	N;FEM;SG
na	m	N;FEM;SG
na	zan	N;FEM;SG
nạlba	gnạua	N;FEM;SG
ndịnas	dinas	N;FEM;PL
nta	ssa	N;FEM;SG
nza	zza	N;FEM;SG
nẹstra	anẹstra	N;FEM;SG
omgias	ạmgias	N;FEM;PL
ordẹlla	urdella	N;FEM;SG
ous	öl	N;MASC;PL
ọ̈ls/faṣchọus	ọ̈l	N;MASC;PL
ọrs	r	N;FEM;PL
padẹlla	test	N;FEM;SG
pantoflịna blạua	grassẹtta	N;FEM;SG
passẹlla	rava	N;FEM;SG
piẹssas	manget	N;FEM;PL
poa	grassịtsch	N;FEM;SG
potạssa	sal	N;FEM;SG
pparọtta	mparọtta	N;FEM;SG
precụmpra	dret	N;FEM;SG
pạda		N;FEM;SG
quẹtta	ketta	N;FEM;SG
ra	a	N;FEM;SG
ra	ar	N;FEM;SG
ra	car	N;FEM;SG
ra	er	N;FEM;SG
ra	ser	N;FEM;SG
ra	ter	N;FEM;SG
ramọzza	antermozza	N;FEM;SG
rarịa	aria	N;FEM;SG
ras	ers	None
rattamunạida	arattamunạida	N;FEM;SG
ravulạda	barbulada	N;FEM;SG
raṣulạna	uzlạna	N;FEM;SG
rbirọula	vroula	N;FEM;SG
rẹssa	̣ra	N;FEM;SG
rnẹra	ornẹr	N;FEM;SG
rplịda	ndella	N;FEM;SG
rọ̈la	dịna	N;FEM;SG
rụ̈ṣcha	ischa	N;FEM;SG
rẹzza	ezza	N;FEM;SG
rẹṣus	factur	N;MASC;PL
rịa		N;FEM;SG
rọja	duoira	N;FEM;SG
s		N;FEM;PL
s, fazọus		N;MASC;PL
s-chandunạda	chandunạda	N;FEM;SG
s-web	-web	N;FEM;PL
s/uschọus		N;MASC;PL
s/uzọus		N;MASC;PL
s/uṣọus		N;MASC;PL
sbaccunạda	baccunạda	N;FEM;SG
schamflẹchs	tschanflechs	N;MASC;PL
schanajamọngias	mongetta	N;FEM;PL
scharạda	tscharada	N;FEM;SG
schintschignịda	rebla	N;FEM;SG
schmanchạnza	invlidạnza	N;FEM;SG
scuidạnza	malscuidạnza	N;FEM;SG
scundunạda	chandunạda	N;FEM;SG
sitạts	ṣità	N;FEM;PL
